"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: strategyType"
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"35,730345","21,237140","ms/op",01_PT_Concurrent_Collection
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"46,239927","7,597661","ms/op",02_VT_Concurrent_Collection
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"479,927784","299,272532","ms/op",03_PT_Executor_Runnable
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"508,048008","678,529985","ms/op",04_VT_Executor_Runnable
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"49,408024","6,552437","ms/op",05_PT_Executor_Callable(Confinamento)
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"28,912291","31,151392","ms/op",06_VT_Executor_Callable(Confinamento)
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"28,317289","3,780430","ms/op",07_ForkJoin(Work-Stealing)
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"27,628500","3,130050","ms/op",08_PT_CompletableFuture
"imd.ufrn.benchmark.MatcherBenchmark.executeMatch","avgt",1,5,"26,752282","4,784950","ms/op",09_VT_CompletableFuture
