"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.alloc.rate","avgt",1,5,"15,673185","1,219783","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"594919,191972","8940,151065","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.time","avgt",1,5,"35,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher","avgt",1,5,"33,694103","2,279916","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.alloc.rate","avgt",1,5,"4296,340649","288,818155","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"151799159,718443","24,816800","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.count","avgt",1,5,"31,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.time","avgt",1,5,"38,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher","avgt",1,5,"33,890825","3,083641","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.alloc.rate","avgt",1,5,"4270,159990","382,678593","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"151732633,223819","21,306757","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.count","avgt",1,5,"31,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.time","avgt",1,5,"33,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher","avgt",1,5,"33,486031","3,488824","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.alloc.rate","avgt",1,5,"4322,375725","447,617746","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"151733077,527979","498,121990","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.count","avgt",1,5,"29,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.time","avgt",1,5,"31,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher","avgt",1,5,"32,632519","1,661687","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"4433,655102","224,755509","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"151734108,377419","586,610872","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.count","avgt",1,5,"30,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.time","avgt",1,5,"34,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher","avgt",1,5,"0,904383","0,067927","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate","avgt",1,5,"243,762526","24,822848","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"231138,002285","10321,098418","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.count","avgt",1,5,"41,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.time","avgt",1,5,"30,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher","avgt",1,5,"207,203919","15,176558","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate","avgt",1,5,"698,320832","51,488334","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate.norm","avgt",1,5,"151728234,880000","11,021186","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.count","avgt",1,5,"12,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.time","avgt",1,5,"34,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher","avgt",1,5,"150,618255","73,816352","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate","avgt",1,5,"2483,831514","1076,394021","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"387926089,800000","847323,921085","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.count","avgt",1,5,"28,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.time","avgt",1,5,"107,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher","avgt",1,5,"134,564352","25,746525","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate","avgt",1,5,"2750,732592","507,203855","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"387546663,400000","704787,025189","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.count","avgt",1,5,"36,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.time","avgt",1,5,"77,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher","avgt",1,5,"148,659267","29,730402","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate","avgt",1,5,"2491,703128","518,714034","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"387707162,371429","506132,351693","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.count","avgt",1,5,"30,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.time","avgt",1,5,"79,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher","avgt",1,5,"148,104251","62,137600","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate","avgt",1,5,"2516,143909","925,041867","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"387642019,800000","2189951,046882","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.count","avgt",1,5,"22,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.time","avgt",1,5,"79,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher","avgt",1,5,"147,253269","41,641207","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate","avgt",1,5,"2520,422873","720,126844","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"387576742,342857","1137370,764931","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.count","avgt",1,5,"33,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.time","avgt",1,5,"82,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher","avgt",1,5,"145,969247","56,905196","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"2550,881374","934,680475","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"387557220,095238","837453,973213","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.count","avgt",1,5,"34,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.time","avgt",1,5,"75,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher","avgt",1,5,"0,269781","0,053944","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate","avgt",1,5,"1067,036925","210,567658","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"301306,438229","13960,761658","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.count","avgt",1,5,"14,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.time","avgt",1,5,"37,000000",NaN,"ms"
