"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.alloc.rate","avgt",1,5,"16,128798","0,666075","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"593313,048276","1635,872078","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.count","avgt",1,5,"7,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.time","avgt",1,5,"4,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher","avgt",1,5,"32,341049","3,824164","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.alloc.rate","avgt",1,5,"4478,466348","535,891805","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"151799116,732551","26,194797","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.count","avgt",1,5,"33,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.time","avgt",1,5,"44,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher","avgt",1,5,"33,085732","3,661132","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.alloc.rate","avgt",1,5,"4375,139041","488,111770","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"151732592,320430","19,962778","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.count","avgt",1,5,"29,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.time","avgt",1,5,"37,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher","avgt",1,5,"31,532871","2,030395","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.alloc.rate","avgt",1,5,"4588,673644","295,374428","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"151732870,946237","136,091535","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.count","avgt",1,5,"38,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.time","avgt",1,5,"39,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher","avgt",1,5,"32,292224","4,765036","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"4484,639383","634,182861","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"151733672,333333","936,178222","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.count","avgt",1,5,"33,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.time","avgt",1,5,"38,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher","avgt",1,5,"0,884893","0,101251","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate","avgt",1,5,"247,090031","33,635067","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"229146,020125","10662,971155","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.count","avgt",1,5,"103,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.time","avgt",1,5,"22,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher","avgt",1,5,"201,170529","124,063880","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate","avgt",1,5,"731,950283","388,222550","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate.norm","avgt",1,5,"151727955,680000","827,829945","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.count","avgt",1,5,"3,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.time","avgt",1,5,"2,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher","avgt",1,5,"247,077003","197,283526","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate","avgt",1,5,"1538,767528","1000,575903","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"387660831,360000","830258,427332","B/op"
